,Engine Size(L),Cylinders,Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),Fuel Type_D,Fuel Type_E,Fuel Type_N,Fuel Type_X,Fuel Type_Z
1951,0.32099540809051946,0.20642873888631294,-0.14181451270518106,-0.056732960170967274,0,0,0,1,0
2742,-0.851086201165638,-0.8769341163215539,-0.8544903781995579,0.7714540013952955,0,0,0,1,0
1971,-1.290616804636697,-0.8769341163215539,-1.092049000031017,1.185547482178427,0,0,0,1,0
4651,1.5663321179251866,1.2897915940941798,1.0120416504761913,-1.022951081998274,0,0,0,1,0
4414,0.9070362127185984,1.2897915940941798,0.5369244068132732,-0.7468887614761863,0,0,0,0,1
869,1.0535464138756174,1.2897915940941798,1.1138524884039596,-1.022951081998274,0,0,0,1,0
5487,-1.1441066034796774,-0.8769341163215539,-1.092049000031017,1.185547482178427,0,0,0,1,0
1042,0.9070362127185984,1.2897915940941798,0.604798298765119,-0.7468887614761863,0,0,0,0,1
4471,-1.290616804636697,-0.8769341163215539,-1.2617337299106306,1.5996409629615584,0,0,0,1,0
4088,0.24774030751200957,0.20642873888631294,0.027870217174432513,-0.3327952806930549,0,0,0,1,0
356,-1.1441066034796774,-0.8769341163215539,-0.5151209184403308,0.35736052061216417,0,0,0,1,0
1162,-1.290616804636697,-0.8769341163215539,-0.9902381621032489,1.047516321917383,0,0,0,1,0
4039,-0.5580657988515988,-0.8769341163215539,0.7744830286447325,-0.8849199217372301,0,1,0,0,0
4874,-0.4848106982730888,-0.8769341163215539,-0.718742594295867,0.6334228411342517,0,0,0,1,0
2629,0.4675056092475389,0.20642873888631294,0.19755494705404608,-0.4708264409540987,0,0,0,0,1
2029,-0.5580657988515988,-0.8769341163215539,0.0957441091262783,-0.3327952806930549,0,1,0,0,0
3897,0.10123010635498975,0.20642873888631294,0.0618071631503551,-0.3327952806930549,0,0,0,1,0
5022,-0.11853519538053964,0.20642873888631294,-0.3114992425847946,0.08129820009007653,0,0,0,0,1
3290,-0.5580657988515988,-0.8769341163215539,-0.4133100805125624,0.21932936035112033,0,0,0,1,0
5250,0.9070362127185984,1.2897915940941798,0.469050514861428,-0.6088576012151425,0,0,0,0,1
5590,-0.851086201165638,-0.8769341163215539,-0.6169317563680992,0.49539168087320795,0,0,0,1,0
1890,-0.851086201165638,-0.8769341163215539,-1.0581120540550941,1.185547482178427,1,0,0,0,0
579,0.4675056092475389,1.2897915940941798,1.181726380355805,-1.1609822422593177,0,0,0,0,1
4374,0.9070362127185984,1.2897915940941798,0.33330273095773705,-0.4708264409540987,0,0,0,0,1
2857,-0.11853519538053964,0.20642873888631294,-0.4133100805125624,0.21932936035112033,0,0,0,0,1
2302,1.3465668161896571,1.2897915940941798,0.7744830286447325,-0.8849199217372301,0,0,0,0,1
3509,0.24774030751200957,0.20642873888631294,-0.4811839724644082,0.21932936035112033,0,0,0,0,1
1691,-0.4848106982730888,-0.8769341163215539,-0.4811839724644082,0.21932936035112033,0,0,0,1,0
4653,1.5663321179251866,1.2897915940941798,0.8423569205965777,-0.8849199217372301,0,0,0,1,0
4080,0.17448520693349964,0.20642873888631294,-0.00606672880149008,-0.19476412043201108,0,0,0,0,1
3996,0.24774030751200957,0.20642873888631294,-0.10787756672925845,-0.19476412043201108,0,0,0,1,0
